rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles	cluster
L6993	Brc1ccc2ccccc2n1	CC(O)(C#Cc1cc2n(n1)CCCN2c1ccnc(N)n1)c1nccs1	CC(O)(C#Cc1cc2n(n1)CCCN2c1ccnc(Nc2ccc3ccccc3n2)n1)c1nccs1	92
L5841	COC(=O)c1cc(Br)cnc1Nc1ccccc1	Nc1ccc(F)cc1F	COC(=O)c1cc(Nc2ccc(F)cc2F)cnc1Nc1ccccc1	93
L4054	Clc1cccc(Oc2cncc(Cl)n2)c1	COc1cc(N)cc(OC)c1OC	COc1cc(Nc2cncc(Oc3cccc(Cl)c3)n2)cc(OC)c1OC	94
L3431	Cc1cc2ccnc(Cl)c2nc1OCc1ccccc1	CC(C)(C)OC(=O)N1CCC(N)CC1	Cc1cc2ccnc(NC3CCN(C(=O)OC(C)(C)C)CC3)c2nc1OCc1ccccc1	95
L2498	COc1cc(-c2ccc(Cl)nn2)ccc1-n1cnc(C)c1	C[C@@H](N)c1ccc(F)cc1	COc1cc(-c2ccc(N[C@H](C)c3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1	96
L8445	Brc1ccccn1	COc1ccc(N)cc1	COc1ccc(Nc2ccccn2)cc1	97
L12055	COc1ccc(Cl)cc1	CCCCN	CCCCNc1ccc(OC)cc1	98
L5345	Brc1ccccn1	CC(C)(C)c1cc(-c2ccccc2N[C@@H](c2ccccc2)[C@@H](N)c2ccccc2)cc(C(C)(C)C)c1	CC(C)(C)c1cc(-c2ccccc2N[C@@H](c2ccccc2)[C@@H](Nc2ccccn2)c2ccccc2)cc(C(C)(C)C)c1	99
L9081	Cc1ccc(Br)cc1	CC(C)CN	Cc1ccc(NCC(C)C)cc1	100
L13406	Cc1ccc(S(=O)(=O)Oc2ccc(Br)cn2)cc1	Nc1ccccc1Cl	Cc1ccc(S(=O)(=O)Oc2ccc(Nc3ccccc3Cl)cn2)cc1	101
L10674	CONC(=O)c1ccccc1Nc1cc(Cl)ncc1Cl	Nc1cnn2c1CCCC2	CONC(=O)c1ccccc1Nc1cc(Nc2cnn3c2CCCC3)ncc1Cl	102
L9985	CC(=O)c1cc2cccc(Br)c2o1	COc1cc(N)cc(OC)c1	COc1cc(Nc2cccc3cc(C(C)=O)oc23)cc(OC)c1	103
L9316	Brc1ccc2nc3c(cc2c1)C=Nc1ccccc1O3	Cc1ccc(N)c(F)c1	Cc1ccc(Nc2ccc3nc4c(cc3c2)C=Nc2ccccc2O4)c(F)c1	104
