rxn_id	ligand_1_name	ligand_1_cas	ligand_1_smiles	startingmat_1_cas	startingmat_1_smiles	startingmat_2_cas	startingmat_2_smiles	product_1_smiles	product_1_yield
AN-044	L-044	7688-25-7	P(CCCCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	16.3
AN-045	L-045	5518-52-5	P(C1=CC=CO1)(C2=CC=CO2)C3=CC=CO3	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0
AN-046	L-046	6163-58-2	CC1=C(P(C2=C(C)C=CC=C2)C3=C(C)C=CC=C3)C=CC=C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0.4
AN-047	L-047	1440435-00-6	[C]1N(C=CN1C=2C(=CC=CC2C(CC)CC)C(CC)CC)C=3C(=CC=CC3C(CC)CC)C(CC)CC	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	20.3
AN-048	L-048	244187-81-3	[C]1N(C=CN1C=2C(=CC=CC2C(C)C)C(C)C)C=3C(=CC=CC3C(C)C)C(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1.3
AN-049	L-049	908293-85-6	CC(P(C1=C(C2=C(C=CC=C3)C3=CC=C2OCC4=CC=CC=C4)C5=CC=CC=C5C=C1)C(C)(C)C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	6.6
AN-050	L-050	1237588-12-3	C1(P([C@]23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[C@]56C[C@H]7C[C@H](C[C@H](C7)C6)C5)=CC=CC=C1N8CCOCC8	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0
AN-051	L-051	1355318-14-7	COC1=CC=C2C(C=CC=C2)=C1C3=C(P4C(C)(C)CC5(OCCO5)CC4(C)C)C=CC6=CC=CC=C63	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	4.1
AN-052	L-052	175136-62-6	FC(C1=CC(P(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	1.7
AN-053	L-053	255836-67-0	CC(P(C1=C(C2=C(C=CC=C3)C3=CC=C2)C4=CC=CC=C4C=C1)C(C)(C)C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	55.5
