rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles
L12130	CC(C)(C)OC(=O)c1cccc(Br)c1	C[Si](C)(C)CCS(N)(=O)=O	CC(C)(C)OC(=O)c1cccc(NS(=O)(=O)CC[Si](C)(C)C)c1
L12131	Cc1cc(Br)ccc1C#N	C[Si](C)(C)CCS(N)(=O)=O	Cc1cc(NS(=O)(=O)CC[Si](C)(C)C)ccc1C#N
L12132	COC(=O)c1ccc(Br)cc1OC	C[Si](C)(C)CCS(N)(=O)=O	COC(=O)c1ccc(NS(=O)(=O)CC[Si](C)(C)C)cc1OC
L12133	O=Cc1ccc(Cl)cc1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccc(C=O)cc1
L12134	CC(=O)c1ccc(Cl)cc1	C[Si](C)(C)CCS(N)(=O)=O	CC(=O)c1ccc(NS(=O)(=O)CC[Si](C)(C)C)cc1
L12135	N#Cc1ccc(Br)cc1F	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccc(C#N)c(F)c1
L12136	O=Cc1ccc(Br)cc1	C[Si](C)(C)CCS(N)(=O)=O	C[Si](C)(C)CCS(=O)(=O)Nc1ccc(C=O)cc1
L12137	COc1cc(Cl)nc(N2CCC[C@H]2c2cc(-c3ncccn3)no2)n1	Cc1cc(N)n(C(=O)OC(C)(C)C)n1	COc1cc(Nc2cc(C)nn2C(=O)OC(C)(C)C)nc(N2CCC[C@H]2c2cc(-c3ncccn3)no2)n1
L12138	Brc1ccccc1Sc1ccccc1Br	CN(C)CCCN	CN(C)CCCNc1ccccc1Sc1ccccc1Br
L12139	CN(C)c1ccnc(Cl)c1	Nc1ccc2ccccc2c1-c1c(N)ccc2ccccc12	CN(C)c1ccnc(Nc2ccc3ccccc3c2-c2c(N)ccc3ccccc23)c1
L12140	Clc1cccnc1	NC(=O)Nc1ccccc1	O=C(Nc1ccccc1)Nc1cccnc1
L12141	O=C(c1ccc(Cl)nc1)N1CCOCC1	Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cc(N)c2nccn2c1	Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cc(Nc2ccc(C(=O)N3CCOCC3)cn2)c2nccn2c1
L12142	Fc1cc(F)cc(Cn2ccc3cnc(Cl)nc32)c1	CC(C)(C)OC(=O)N1CCN(c2ccc(N)cc2)CC1	CC(C)(C)OC(=O)N1CCN(c2ccc(Nc3ncc4ccn(Cc5cc(F)cc(F)c5)c4n3)cc2)CC1
L12143	COc1ccc(Br)c2cc(C)cc(OC)c12	COc1cc(C[C@H](C)N)cc(OC)c1	COc1cc(C[C@H](C)Nc2ccc(OC)c3c(OC)cc(C)cc23)cc(OC)c1
L12144	COc1ccc(Br)c2cc(C)cc(OC)c12	COc1cc(C[C@@H](C)N)cc(OC)c1	COc1cc(C[C@@H](C)Nc2ccc(OC)c3c(OC)cc(C)cc23)cc(OC)c1
L12146	Brc1ccccn1	[2H]c1ccccc1N	[2H]c1ccccc1Nc1ccccn1
L12147	Brc1ccccn1	COc1cccc(N)c1	COc1cccc(Nc2ccccn2)c1
L12148	CCOC(=O)Cc1ccc(Cl)nc1	CC(C)(C)OC(N)=O	CCOC(=O)Cc1ccc(NC(=O)OC(C)(C)C)nc1
L12149	Cc1nc(N)nc(-c2c(Cl)nc3ccccn23)n1	Nc1cc[nH]n1	Cc1nc(N)nc(-c2c(Nc3cc[nH]n3)nc3ccccn23)n1
L12150	Clc1ccccn1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3ccccn3)cc2)cc1
L12151	Clc1ccccn1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(N)c2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(Nc3ccccn3)c2)cc1
L12152	Brc1cccnc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3cccnc3)cc2)cc1
L12153	Brc1cccnc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(N)c2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(Nc3cccnc3)c2)cc1
L12154	Clc1cnccn1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3cnccn3)cc2)cc1
L12155	Clc1cnccn1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(N)c2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(Nc3cnccn3)c2)cc1
L12156	Brc1cncnc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3cncnc3)cc2)cc1
L12157	Brc1cncnc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(N)c2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(Nc3cncnc3)c2)cc1
L12158	Cc1ccc(Cl)nn1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3ccc(C)nn3)cc2)cc1
L12159	Cc1ccc(Cl)nn1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(N)c2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(Nc3ccc(C)nn3)c2)cc1
L12160	Cc1cnc(C)c(Cl)n1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3nc(C)cnc3C)cc2)cc1
L12161	Brc1cncc2ccccc12	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3cncc4ccccc34)cc2)cc1
L12162	Brc1cncc2ccccc12	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(N)c2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(Nc3cncc4ccccc34)c2)cc1
L12163	Cn1ncc2c(Br)cccc21	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3cccc4c3cnn4C)cc2)cc1
L12164	COC(=O)c1ncc(Br)cn1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COC(=O)c1ncc(Nc2ccc(S(=O)(=O)N(Cc3ccc(OC)cc3)Cc3ccc(OC)cc3)cc2)cn1
L12165	COc1ccnc(Cl)c1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(Nc3cc(OC)ccn3)cc2)cc1
L12166	Cn1ncc2c(Br)cccc21	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(N)c2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(Nc3cccc4c3cnn4C)c2)cc1
L12167	COc1ccnc(Cl)c1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(N)c2)cc1	COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cccc(Nc3cc(OC)ccn3)c2)cc1
L12168	CC(C)(C)OC(=O)N(Cc1cccnc1)S(=O)(=O)c1cc(Cl)cc(Cl)c1	CC(N)=O	CC(=O)Nc1cc(Cl)cc(S(=O)(=O)N(Cc2cccnc2)C(=O)OC(C)(C)C)c1
L12169	Nc1ncccc1Br	NCc1ccccc1	Nc1ncccc1NCc1ccccc1
L12170	CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1N	Brc1ncccn1	CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ncccn1
L12171	COC(=O)c1nc(Br)n([C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)n1	Cc1ccc(N)cc1	COC(=O)c1nc(Nc2ccc(C)cc2)n([C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)n1
L12172	Brc1ccccc1	CC(C)(C)[S@](N)=O	CC(C)(C)[S@@](=O)Nc1ccccc1
L12173	Brc1ccc(-c2ccccc2)cc1	CC(C)(C)[S@](N)=O	CC(C)(C)[S@@](=O)Nc1ccc(-c2ccccc2)cc1
L12174	Clc1cnccn1	Nc1ncco1	c1cnc(Nc2ncco2)cn1
L12175	Fc1cccnc1Cl	CC(C)(C)OC(=O)N1CCN(c2ccc3ncc(-c4cnc(N)nc4)n3n2)CC1	CC(C)(C)OC(=O)N1CCN(c2ccc3ncc(-c4cnc(Nc5ncccc5F)nc4)n3n2)CC1
L12176	OCCNc1nc(NCc2ccccc2)c2ncc(Cl)cc2n1	Nc1cnc2ccccc2c1	OCCNc1nc(NCc2ccccc2)c2ncc(Nc3cnc4ccccc4c3)cc2n1
L12177	CCOC(=O)c1cnc2c(Br)cc(C#N)cc2c1NCc1ccc(OC)c(Cl)c1	CN(C)CCN	CCOC(=O)c1cnc2c(NCCN(C)C)cc(C#N)cc2c1NCc1ccc(OC)c(Cl)c1
L12178	Nc1cc(F)cc(Cl)c1	Clc1ccc2nonc2c1	Fc1cc(Cl)cc(Nc2ccc3nonc3c2)c1
L12179	COc1cc(F)ccc1-c1nc(Cl)ncc1F	CS(=O)(=O)Cc1cccc(N)c1	COc1cc(F)ccc1-c1nc(Nc2cccc(CS(C)(=O)=O)c2)ncc1F
L12180	Brc1cc2ccc3ccc4ccccc4c3c2c2c1ccc1ccc3ccccc3c12	NCc1ccccc1	Cl.c1ccc(CNc2cc3ccc4ccc5ccccc5c4c3c3c2ccc2ccc4ccccc4c23)cc1
